Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sheath_sumtemp	Sheath_diameter	Sheath_length	Sheath_final_length	Sheath_surface	Sheath_PAR	Photosynthetic
25.0	237.4	6.7	3	Maxwell	(1,)	-1	2	19.0	0.4	0.0	2.70152	0.0	0.0	True
25.0	237.4	6.7	4	Maxwell	(1,)	-1	1	181.4	0.4	1.26927272727	2.148	0.79750757508	0.0	True
25.0	237.4	6.7	4	Maxwell	(1,)	-1	2	81.9	0.4	0.0	2.70152	0.0	0.0	True
26.0	242.4	5.0	1	Maxwell	(1,)	-1	1	176.6	0.4	1.30181818182	2.148	0.817956487262	0.0	True
26.0	242.4	5.0	1	Maxwell	(1,)	-1	2	86.9	0.4	0.0	2.70152	0.0	0.0	True
26.0	242.4	5.0	2	Maxwell	(1,)	-1	1	166.6	0.4	0.634636363636	2.148	0.39875378754	0.0	True
26.0	242.4	5.0	2	Maxwell	(1,)	-1	2	66.1	0.4	0.0	2.70152	0.0	0.0	True
26.0	242.4	5.0	3	Maxwell	(1,)	-1	1	123.6	0.4	0.0	2.148	0.0	0.0	True
26.0	242.4	5.0	3	Maxwell	(1,)	-1	2	24.0	0.4	0.0	2.70152	0.0	0.0	True
26.0	242.4	5.0	4	Maxwell	(1,)	-1	1	186.4	0.4	1.54048484848	2.148	0.967915176593	0.0	True
26.0	242.4	5.0	4	Maxwell	(1,)	-1	2	86.9	0.4	0.0	2.70152	0.0	0.0	True
27.0	246.0	3.6	1	Maxwell	(1,)	-1	1	180.2	0.4	1.49709090909	2.148	0.940649960351	0.0	True
27.0	246.0	3.6	1	Maxwell	(1,)	-1	2	90.5	0.4	0.0	2.70152	0.0	0.0	True
27.0	246.0	3.6	2	Maxwell	(1,)	-1	1	170.2	0.4	0.829909090909	2.148	0.521447260629	0.0	True
27.0	246.0	3.6	2	Maxwell	(1,)	-1	2	69.7	0.4	0.0	2.70152	0.0	0.0	True
27.0	246.0	3.6	3	Maxwell	(1,)	-1	1	127.2	0.4	0.0	2.148	0.0	0.0	True
27.0	246.0	3.6	3	Maxwell	(1,)	-1	2	27.6	0.4	0.0	2.70152	0.0	0.0	True
27.0	246.0	3.6	4	Maxwell	(1,)	-1	1	190.0	0.4	1.73575757576	2.148	1.09060864968	0.0	True
27.0	246.0	3.6	4	Maxwell	(1,)	-1	2	90.5	0.4	0.0	2.70152	0.0	0.0	True
28.0	248.9	2.9	1	Maxwell	(1,)	-1	1	183.1	0.4	1.65439393939	2.148	1.03948636923	0.0	True
28.0	248.9	2.9	1	Maxwell	(1,)	-1	2	93.4	0.4	0.0	2.70152	0.0	0.0	True
28.0	248.9	2.9	2	Maxwell	(1,)	-1	1	173.1	0.4	0.987212121212	2.148	0.620283669507	0.0	True
28.0	248.9	2.9	2	Maxwell	(1,)	-1	2	72.6	0.4	0.0	2.70152	0.0	0.0	True
28.0	248.9	2.9	3	Maxwell	(1,)	-1	1	130.1	0.4	0.0	2.148	0.0	0.0	True
28.0	248.9	2.9	3	Maxwell	(1,)	-1	2	30.5	0.4	0.0	2.70152	0.0	0.0	True
28.0	248.9	2.9	4	Maxwell	(1,)	-1	1	192.9	0.4	1.89306060606	2.148	1.18944505856	0.0	True
28.0	248.9	2.9	4	Maxwell	(1,)	-1	2	93.4	0.4	0.0	2.70152	0.0	0.0	True
29.0	253.0	4.1	1	Maxwell	(1,)	-1	1	187.2	0.4	1.87678787879	2.148	1.17922060247	0.0	True
29.0	253.0	4.1	1	Maxwell	(1,)	-1	2	97.5	0.4	0.0	2.70152	0.0	0.0	True
29.0	253.0	4.1	2	Maxwell	(1,)	-1	1	177.2	0.4	1.20960606061	2.148	0.760017902748	0.0	True
29.0	253.0	4.1	2	Maxwell	(1,)	-1	2	76.7	0.4	0.0	2.70152	0.0	0.0	True
29.0	253.0	4.1	3	Maxwell	(1,)	-1	1	134.2	0.4	0.0	2.148	0.0	0.0	True
29.0	253.0	4.1	3	Maxwell	(1,)	-1	2	34.6	0.4	0.0	2.70152	0.0	0.0	True
29.0	253.0	4.1	4	Maxwell	(1,)	-1	1	197.0	0.4	2.11545454545	2.148	1.3291792918	0.0	True
29.0	253.0	4.1	4	Maxwell	(1,)	-1	2	97.5	0.4	0.0	2.70152	0.0	0.0	True
