Init_flag	Elapsed_time	DOY	Temperature	Temp_cum	Num_plante	Num_talle	Sheath_max	Collar_height	Dead_collar_height	Delta_H	Visible_leaves_surface	Visible_surface	Leaf_contrib_to_GAI	Stem_contrib_to_GAI	Ear_contrib_to_GAI	Peduncle_contrib_to_GAI	Stop_growth_flag
False	24.0	343	5.8	230.7	2	(1,)	0.5	0.5	0.0	0.0	1.90543303618	1.90543303618	1.90543303618	0.0	0.0	0.0	False
False	24.0	343	5.8	230.7	3	(1,)	0.5	0.5	0.0	0.0	1.12171257412	1.12171257412	1.12171257412	0.0	0.0	0.0	False
False	24.0	343	5.8	230.7	4	(1,)	0.905848484848	0.905848484848	0.0	0.0	2.20494670888	2.20494670888	2.20494670888	0.0	0.0	0.0	False
False	25.0	344	6.7	237.4	1	(1,)	1.03060606061	1.03060606061	0.0	0.0	2.22250256085	2.22250256085	2.22250256085	0.0	0.0	0.0	False
False	25.0	344	6.7	237.4	2	(1,)	0.5	0.5	0.0	0.0	2.12957791813	2.12957791813	2.12957791813	0.0	0.0	0.0	False
False	25.0	344	6.7	237.4	3	(1,)	0.5	0.5	0.0	0.0	1.23650378784	1.23650378784	1.23650378784	0.0	0.0	0.0	False
False	25.0	344	6.7	237.4	4	(1,)	1.26927272727	1.26927272727	0.0	0.0	2.19993042643	2.19993042643	2.19993042643	0.0	0.0	0.0	False
False	26.0	345	5.0	242.4	1	(1,)	1.30181818182	1.30181818182	0.0	0.0	2.21852334449	2.21852334449	2.21852334449	0.0	0.0	0.0	False
False	26.0	345	5.0	242.4	2	(1,)	0.634636363636	0.634636363636	0.0	0.0	2.1915558362	2.1915558362	2.1915558362	0.0	0.0	0.0	False
False	26.0	345	5.0	242.4	3	(1,)	0.5	0.5	0.0	0.0	1.32404932631	1.32404932631	1.32404932631	0.0	0.0	0.0	False
False	26.0	345	5.0	242.4	4	(1,)	1.54048484848	1.54048484848	0.0	0.0	2.19624583567	2.19624583567	2.19624583567	0.0	0.0	0.0	False
False	27.0	346	3.6	246.0	1	(1,)	1.49709090909	1.49709090909	0.0	0.0	2.21568948231	2.21568948231	2.21568948231	0.0	0.0	0.0	False
False	27.0	346	3.6	246.0	2	(1,)	0.829909090909	0.829909090909	0.0	0.0	2.18898097821	2.18898097821	2.18898097821	0.0	0.0	0.0	False
False	27.0	346	3.6	246.0	3	(1,)	0.5	0.5	0.0	0.0	1.3880773079	1.3880773079	1.3880773079	0.0	0.0	0.0	False
False	27.0	346	3.6	246.0	4	(1,)	1.73575757576	1.73575757576	0.0	0.0	2.19362410393	2.19362410393	2.19362410393	0.0	0.0	0.0	False
False	28.0	347	2.9	248.9	1	(1,)	1.65439393939	1.65439393939	0.0	0.0	2.21342562894	2.21342562894	2.21342562894	0.0	0.0	0.0	False
False	28.0	347	2.9	248.9	2	(1,)	0.987212121212	0.987212121212	0.0	0.0	2.18692576711	2.18692576711	2.18692576711	0.0	0.0	0.0	False
False	28.0	347	2.9	248.9	3	(1,)	0.5	0.5	0.0	0.0	1.44026132812	1.44026132812	1.44026132812	0.0	0.0	0.0	False
