Elapsed_time	Temp_cum	Num_plante	Genotype	Num_talle	Ear_sumtemp	Ear_length	Ear_surface	Ear_PAR	Photosynthetic	Emerged
85.0	391.5	4	Maxwell	(1, 2, 2, 2, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 2, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 2, 4)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 3, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 3, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 3, 3)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 3)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 4, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 4)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 5, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 5)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 7)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2)	15.9	0.0	0.0	0.0	True	True
85.0	391.5	4	Maxwell	(1, 3, 1, 1, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 1, 2, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 1, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 1, 4)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 2, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 3, 2, 1)	15.9	0.0	0.0	0.0	True	False
