Abs_int_PAR	Elapsed_time	Inc_PAR	Num_plante	Num_talle	Sum_PAR	Temp_cum
22542.8722047	161.0	33915800	4	(1, 4)	1204421.84987	907.3
70720.3102385	161.0	33915800	4	(1,)	1694736.6013	907.3
58527.0520327	162.0	42622000	1	(1, 2)	1060007.02814	923.4
24750.6827666	162.0	42622000	1	(1, 2, 1)	783410.114918	923.4
5107.5605331	162.0	42622000	1	(1, 4)	350714.47071	923.4
80180.5263907	162.0	42622000	1	(1,)	1231429.60452	923.4
45809.9477243	162.0	42622000	2	(1, 2)	941844.898048	923.4
6920.27948798	162.0	42622000	2	(1, 2, 1)	507286.530767	923.4
42755.6441321	162.0	42622000	2	(1, 3)	1100329.60702	923.4
25949.1002349	162.0	42622000	2	(1, 4)	982846.231218	923.4
64980.5726264	162.0	42622000	2	(1,)	1119980.2349	923.4
56037.1311428	162.0	42622000	3	(1, 2)	1432303.58037	923.4
18559.7658824	162.0	42622000	3	(1, 2, 1)	1142974.48955	923.4
36913.9797784	162.0	42622000	3	(1, 3)	1270281.92967	923.4
5776.66712073	162.0	42622000	3	(1, 4)	398799.067159	923.4
76159.4050628	162.0	42622000	3	(1,)	1560402.56617	923.4
58745.6754083	162.0	42622000	4	(1, 2)	1057381.00145	923.4
27457.5724909	162.0	42622000	4	(1, 4)	856949.854848	923.4
86557.039602	162.0	42622000	4	(1,)	1323023.81875	923.4
61892.3018668	163.0	42137200	1	(1, 2)	972885.152356	939.9
29923.8056605	163.0	42137200	1	(1, 2, 1)	812755.794825	939.9
5082.07281413	163.0	42137200	1	(1, 4)	340504.595878	939.9
84640.9846376	163.0	42137200	1	(1,)	1138878.90903	939.9
44662.6399616	163.0	42137200	2	(1, 2)	780519.177158	939.9
6855.59062392	163.0	42137200	2	(1, 2, 1)	490361.657854	939.9
42643.6387137	163.0	42137200	2	(1, 3)	913463.326663	939.9
26186.3255147	163.0	42137200	2	(1, 4)	790567.150635	939.9
62840.2409269	163.0	42137200	2	(1,)	933257.921722	939.9
55631.1442701	163.0	42137200	3	(1, 2)	1367702.56026	939.9
19069.2454464	163.0	42137200	3	(1, 2, 1)	867348.744129	939.9
36730.3187862	163.0	42137200	3	(1, 3)	1208606.84269	939.9
5688.30131753	163.0	42137200	3	(1, 4)	383178.662347	939.9
74775.8050848	163.0	42137200	3	(1,)	1478608.85747	939.9
62127.5515671	163.0	42137200	4	(1, 2)	970234.243826	939.9
31872.6374468	163.0	42137200	4	(1, 4)	854772.730847	939.9
90437.9444973	163.0	42137200	4	(1,)	1210719.25847	939.9
81897.375211	164.0	40076800	1	(1, 2)	1510493.82286	953.6
46110.8364622	164.0	40076800	1	(1, 2, 1)	1444607.45531	953.6
4331.90498641	164.0	40076800	1	(1, 4)	349562.144048	953.6
107933.593249	164.0	40076800	1	(1,)	1698944.0427	953.6
43928.523965	164.0	40076800	2	(1, 2)	837485.297719	953.6
5704.00322682	164.0	40076800	2	(1, 2, 1)	491376.93621	953.6
40870.7435993	164.0	40076800	2	(1, 3)	942909.304786	953.6
28628.4310847	164.0	40076800	2	(1, 4)	929674.605975	953.6
56949.1900836	164.0	40076800	2	(1,)	930706.256881	953.6
51761.1670416	164.0	40076800	3	(1, 2)	1510197.34268	953.6
