Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;7;6;17.6454545455;2758.9;55729780
France;1901;7;7;17.3181818182;2573.7;51988740
France;1901;7;8;17.1636363636;2747.7;55503540
France;1901;7;9;17.5636363636;2814.7;56856940
France;1901;7;10;17.5636363636;2785.7;56271140
France;1901;7;11;18.0454545455;2551.4;51538280
France;1901;7;12;17.6909090909;2409;48661800
France;1901;7;13;18.4090909091;2581.1;52138220
France;1901;7;14;19.2090909091;2302.7;46514540
France;1901;7;15;20.4272727273;2856.9;57709380
France;1901;7;16;19.8636363636;2723;55004600
France;1901;7;17;20;2373.2;47938640
France;1901;7;18;20.3636363636;2671.8;53970360
France;1901;7;19;20.1363636364;2515.3;50809060
France;1901;7;20;19.2454545455;2500;50500000
France;1901;7;21;19.8;2565.8;51829160
France;1901;7;22;19.7909090909;2415;48783000
France;1901;7;23;19.0454545455;2555.8;51627160
France;1901;7;24;19.8363636364;2707.5;54691500
France;1901;7;25;20.2454545455;2510.4;50710080
France;1901;7;26;20.4;2523.5;50974700
France;1901;7;27;20.2909090909;2499.7;50493940
France;1901;7;28;20.1909090909;2535.4;51215080
France;1901;7;29;18.9909090909;2626.5;53055300
France;1901;7;30;18.4090909091;2396.7;48413340
France;1901;7;31;19.7363636364;2648.6;53501720
France;1901;8;1;20.5090909091;2233.6;45118720
France;1901;8;2;19.7;2345.7;47383140
France;1901;8;3;18.9454545455;2515.7;50817140
France;1901;8;4;19.1363636364;2552.6;51562520
France;1901;8;5;19.8363636364;2552.2;51554440
France;1901;8;6;19.2454545455;2269.1;45835820
France;1901;8;7;18.2;1944.2;39272840
France;1901;8;8;18.0090909091;2375.5;47985100
France;1901;8;9;18.3272727273;2342.2;47312440
France;1901;8;10;18.1909090909;2528.7;51079740
France;1901;8;11;18.3909090909;2458.8;49667760
France;1901;8;12;17.6454545455;2365.3;47779060
France;1901;8;13;17.0545454545;2279.4;46043880
France;1901;8;14;17.3181818182;2232.8;45102560
France;1901;8;15;18.3818181818;2114.1;42704820
France;1901;8;16;18.2909090909;2260.7;45666140
France;1901;8;17;18.7636363636;2299;46439800
France;1901;8;18;19.6272727273;2297.6;46411520
France;1901;8;19;18.8636363636;2093.8;42294760
France;1901;8;20;18.2090909091;2038;41167600
France;1901;8;21;18.5;2278.8;46031760
France;1901;8;22;17.8909090909;2085.8;42133160
France;1901;8;23;18.3454545455;2076.5;41945300
France;1901;8;24;16.8909090909;2003.5;40470700
France;1901;8;25;16.7727272727;2075.2;41919040
France;1901;8;26;17.5363636364;2206.4;44569280
France;1901;8;27;17.6090909091;2214.1;44724820
France;1901;8;28;16.9363636364;2143.2;43292640
France;1901;8;29;16.2363636364;1918.5;38753700
France;1901;8;30;16.5363636364;2166;43753200
France;1901;8;31;17.3272727273;2070.8;41830160
France;1901;9;1;17.1727272727;2015.6;40715120
France;1901;9;2;17.4545454545;1876.4;37903280
France;1901;9;3;17.9636363636;1779.3;35941860
France;1901;9;4;17.9909090909;1845.5;37279100
France;1901;9;5;18.1272727273;2093.6;42290720
France;1901;9;6;17.7818181818;1971.5;39824300
France;1901;9;7;17.2727272727;1886.6;38109320
France;1901;9;8;17.5272727273;1926.6;38917320
France;1901;9;9;18.0454545455;1951.6;39422320
France;1901;9;10;17.9363636364;1811.7;36596340
France;1901;9;11;16.8090909091;1544.1;31190820
