Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;7;3;18.8454545455;1785.6;36069120
France;1901;7;4;18.6181818182;1794.4;36246880
France;1901;7;5;18.4818181818;1711.9;34580380
France;1901;7;6;17.6454545455;2074.5;41904900
France;1901;7;7;17.3181818182;2078.2;41979640
France;1901;7;8;17.1636363636;1911.2;38606240
France;1901;7;9;17.5636363636;1801;36380200
France;1901;7;10;17.5636363636;1767.3;35699460
France;1901;7;11;18.0454545455;1894.5;38268900
France;1901;7;12;17.6909090909;1409.8;28477960
France;1901;7;13;18.4090909091;1659.1;33513820
France;1901;7;14;19.2090909091;1996.6;40331320
France;1901;7;15;20.4272727273;1747.3;35295460
France;1901;7;16;19.8636363636;1811.5;36592300
France;1901;7;17;20;1510.4;30510080
France;1901;7;18;20.3636363636;1782.6;36008520
France;1901;7;19;20.1363636364;1688.1;34099620
France;1901;7;20;19.2454545455;1588.1;32079620
France;1901;7;21;19.8;1856.1;37493220
France;1901;7;22;19.7909090909;1594.7;32212940
France;1901;7;23;19.0454545455;1723.2;34808640
France;1901;7;24;19.8363636364;1768.7;35727740
France;1901;7;25;20.2454545455;1875.3;37881060
France;1901;7;26;20.4;1755.9;35469180
France;1901;7;27;20.2909090909;1647.7;33283540
France;1901;7;28;20.1909090909;1532.4;30954480
France;1901;7;29;18.9909090909;1445.2;29193040
France;1901;7;30;18.4090909091;1834.9;37064980
France;1901;7;31;19.7363636364;1854.4;37458880
France;1901;8;1;20.5090909091;1652.4;33378480
France;1901;8;2;19.7;1638.6;33099720
France;1901;8;3;18.9454545455;1520.8;30720160
France;1901;8;4;19.1363636364;1719;34723800
France;1901;8;5;19.8363636364;1843.2;37232640
France;1901;8;6;19.2454545455;1589.8;32113960
