Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;3;11;5.9272727273;1099.9375;22218737.5
France;1901;3;12;5.7545454545;1238.5;25017700
France;1901;3;13;6.1545454545;1173.225;23699145
France;1901;3;14;7.0181818182;1245.8625;25166422.5
France;1901;3;15;8.5181818182;1262.9625;25511842.5
France;1901;3;16;9.1909090909;1261.5875;25484067.5
France;1901;3;17;8.5545454545;1140.7125;23042392.5
France;1901;3;18;7.9363636364;1213.3625;24509922.5
France;1901;3;19;7.5363636364;1315.65;26576130
France;1901;3;20;7.9636363636;1269.125;25636325
France;1901;3;21;7.4818181818;1171.6375;23667077.5
France;1901;3;22;7.4363636364;1239.9;25045980
France;1901;3;23;7.3727272727;1343.175;27132135
France;1901;3;24;8.0181818182;1208.5;24411700
France;1901;3;25;8.3909090909;1244.15;25131830
France;1901;3;26;8.6727272727;1363.075;27534115
France;1901;3;27;8.6545454545;1292.4375;26107237.5
France;1901;3;28;8.5818181818;1237.7875;25003307.5
France;1901;3;29;9.2727272727;1344.9125;27167232.5
France;1901;3;30;8.9454545455;1219.3;24629860
France;1901;3;31;9.2181818182;1344.3194444444;27155252.7777777
France;1901;4;1;9.8818181818;1499.35;30286870
France;1901;4;2;10.6;1435.0875;28988767.5
France;1901;4;3;9.9909090909;1270.4125;25662332.5
France;1901;4;4;8.1090909091;1290.325;26064565
France;1901;4;5;8.4;1548.5125;31279952.5
France;1901;4;6;9.4909090909;1691.1625;34161482.5
France;1901;4;7;9.1545454545;1586.5583333333;32048478.3333333
France;1901;4;8;7.9636363636;1579.8125;31912212.5
France;1901;4;9;9.2363636364;1740.125;35150525
France;1901;4;10;10;1694.7;34232940
France;1901;4;11;9.7545454545;1531.65;30939330
France;1901;4;12;9.9727272727;1624.75;32819950
France;1901;4;13;10.3727272727;1660.0625;33533262.5
France;1901;4;14;11.5818181818;1870.3625;37781322.5
France;1901;4;15;10.6909090909;1828.0375;36926357.5
France;1901;4;16;10.2272727273;1692.9875;34198347.5
France;1901;4;17;10.6909090909;1795.775;36274655
France;1901;4;18;10.2818181818;1709.0375;34522557.5
France;1901;4;19;10.3181818182;1894.9875;38278747.5
France;1901;4;20;10.9181818182;1719.4125;34732132.5
France;1901;4;21;11.7636363636;1835.35;37074070
France;1901;4;22;12.0636363636;1935.2375;39091797.5
France;1901;4;23;12.5272727273;1898.4125;38347932.5
France;1901;4;24;13.6545454545;2020.125;40806525
France;1901;4;25;13.6545454545;1723.5375;34815457.5
France;1901;4;26;12.7272727273;1588.2375;32082397.5
France;1901;4;27;12.2363636364;1783.05;36017610
France;1901;4;28;11.8363636364;1624.0875;32806567.5
France;1901;4;29;11.9727272727;1694.45;34227890
