year;month;day;TM;RG
2;5;27;14.80625;1891.8125
2;5;28;14.85625;2100.875
2;5;29;15.3125;2173
2;5;30;15.3875;1876.5
2;5;31;14.575;1953.125
2;6;1;15.48125;1937.625
2;6;2;16.7125;2215.5
2;6;3;16.0625;1983.625
2;6;4;15.5375;1883.9375
2;6;5;15.75625;2040.5
2;6;6;15.71875;1904.5
2;6;7;16.03125;2059.0625
2;6;8;16.28125;2067.6875
2;6;9;16.40625;2036.5
2;6;10;16.2625;1822.625
2;6;11;16.2875;2282.25
2;6;12;16.4375;1995.5
2;6;13;16.44375;2082.25
2;6;14;17.34375;2145.9375
2;6;15;16.43125;1742.5625
2;6;16;17.325;2433.1875
2;6;17;17.9125;2188.5
2;6;18;17.7;2213.3125
2;6;19;17.49375;2132.6875
2;6;20;17.25625;2031.3125
2;6;21;17.04375;2047.3125
2;6;22;17.51875;2293.125
2;6;23;17.16875;2258.625
2;6;24;17.65;2292.75
2;6;25;17.88125;2281.375
2;6;26;18.4875;2148.625
2;6;27;18.775;2039.125
2;6;28;18.61875;2108.5
2;6;29;18.50625;2208.625
2;6;30;18.54375;2231.5
2;7;1;18.55;2193.125
2;7;2;19.2875;2265.625
2;7;3;18.7875;2079.875
2;7;4;18.2875;1961.3125
2;7;5;17.99375;1807.8125
2;7;6;17.825;1942
2;7;7;17.26875;1765.625
2;7;8;17.375;1916.8125
2;7;9;17.75625;1867.75
2;7;10;17.8375;1818.3125
2;7;11;18.11875;2114.875
2;7;12;17.7375;1749.625
2;7;13;18.1;1899.3125
2;7;14;18.66875;2113.125
2;7;15;19.71875;2154
2;7;16;18.91875;1966.4375
2;7;17;19.20625;2214.125
2;7;18;19.9125;2247.9375
2;7;19;19.925;2013.5
2;7;20;19.375;1957.0625
2;7;21;19.45;2120.625
2;7;22;19.50625;2181.4375
2;7;23;19.13125;1948.3125
2;7;24;19.45625;2125.625
2;7;25;20.0125;2038.375
2;7;26;20.3875;1795.8125
2;7;27;20.40625;1615.75
2;7;28;20.65;2134.125
2;7;29;19.83125;1951.875
2;7;30;19.23125;1988.5625
2;7;31;20.0375;2143.625
2;8;1;20.80625;2138.5625
2;8;2;19.94375;1875.1875
2;8;3;19.18125;1865.5
2;8;4;19.30625;2039.75
2;8;5;19.8625;1839.125
2;8;6;19.69375;1718.9375
2;8;7;19.025;1696.375
2;8;8;18.6875;1626.9375
2;8;9;18.78125;1819.9375
2;8;10;18.575;1745.9375
2;8;11;18.88125;1779
2;8;12;18.74375;1802.9375
2;8;13;18.36875;1752.0625
2;8;14;18.61875;1716.5625
2;8;15;19.20625;1822.6875
2;8;16;18.75625;1856.3125
2;8;17;19.2625;1755.3125
2;8;18;19.55;1600.0625
2;8;19;18.83125;1657.5625
2;8;20;17.7625;1590.6875
2;8;21;18.1;1790.5
2;8;22;17.9125;1784.0625
2;8;23;18.65625;1700
2;8;24;18.325;1574.4375
2;8;25;18.46875;1600.75
2;8;26;18.575;1409.125
2;8;27;17.84375;1483
2;8;28;17.24375;1514.5625
2;8;29;16.73125;1603.1875
2;8;30;16.78125;1733.1875
2;8;31;16.9875;1718
